seed,step,link,condition,is_under_attack,selected_kem,selected_sig,security_level,alert_level,action_taken,latency_ratio
0,18,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,18,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,18,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.9519709230871116
0,18,SATCOM,Without_Detector,False,ML-KEM-1024,SLH-DSA-128s,5,CLEAR,ALLOW,0.3754585767314951
0,19,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,19,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,19,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9156944743850449
0,19,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.05763253863741315
0,20,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,20,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,20,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9003481250724201
0,20,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-87,1,CLEAR,ALLOW,0.10007811051366076
0,21,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,21,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,21,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.8385044663556287
0,21,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-87,3,CLEAR,ALLOW,0.1015851968660426
0,22,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,22,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,22,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.8867136992847958
0,22,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.06608981394673093
0,23,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,23,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,23,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9336311913327497
0,23,SATCOM,Without_Detector,False,ML-KEM-768,SLH-DSA-128s,3,CLEAR,ALLOW,0.3505508830936417
0,24,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,24,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,24,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.8989432941171203
0,24,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.10513929920045985
0,25,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,25,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,25,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9561256278251448
0,25,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-65,3,CLEAR,ALLOW,0.0814108210901623
0,26,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,26,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,26,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9542386832528457
0,26,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.1107232969105379
0,27,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,27,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,27,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9621018454295219
0,27,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.06283907526261465
0,28,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,28,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,28,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.999308535523326
0,28,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-87,1,CLEAR,ALLOW,0.09482899155807985
0,29,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,29,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,29,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9002552833894665
0,29,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-87,3,CLEAR,ALLOW,0.10340416147087382
0,30,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,30,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,30,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.950394675363428
0,30,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.12251315112508818
0,31,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,31,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,31,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.9816348408094029
0,31,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.08360929969353326
0,32,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,32,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,32,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.9505639439922728
0,32,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-65,3,CLEAR,ALLOW,0.09443480472559652
0,33,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,33,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,33,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.9925558275415761
0,33,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-65,5,CLEAR,ALLOW,0.09796755498136307
0,34,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,34,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,34,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-65,1,CLEAR,ALLOW,0.9426769729890555
0,34,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-65,1,CLEAR,ALLOW,0.08500840527677705
0,35,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,35,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9494474943811901
0,35,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-65,3,CLEAR,ALLOW,0.952440449643576
0,35,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.08477150138994882
0,36,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,36,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9304999191524004
0,36,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.6569550766118685
0,36,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.13429109559115698
0,37,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,37,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9294335934781636
0,37,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-65,5,CLEAR,ALLOW,0.994040063394911
0,37,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-87,3,CLEAR,ALLOW,0.11485385751274059
0,38,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,38,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9039228194444444
0,38,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-65,1,CLEAR,ALLOW,0.8346605300765421
0,38,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-87,3,CLEAR,ALLOW,0.1077276348440108
0,39,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,39,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9208582574925657
0,39,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.8753508462092916
0,39,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-87,1,CLEAR,ALLOW,0.10733152818249687
0,40,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,40,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9039228194444444
0,40,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.746502442760707
0,40,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.06657988942892491
0,41,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,41,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9039228194444444
0,41,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.9846538994302276
0,41,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.1116281266582259
0,42,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,42,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9039228194444444
0,42,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.8960373056039235
0,42,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.05138164318404621
0,43,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,43,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9509235267293346
0,43,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.733634142415952
0,43,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-65,1,CLEAR,ALLOW,0.06733750789035782
0,44,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,44,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9840695532148821
0,44,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-65,1,CLEAR,ALLOW,0.9511414140182377
0,44,SATCOM,Without_Detector,False,ML-KEM-1024,SLH-DSA-128s,5,CLEAR,ALLOW,0.3653372829792809
0,45,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,45,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,45,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.9258303380290742
0,45,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.06378684109297124
0,46,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,46,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9851003276199186
0,46,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.7677467684302463
0,46,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.1051930787262798
0,47,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,47,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,47,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.8010201398050725
0,47,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-65,3,CLEAR,ALLOW,0.0761937366095147
0,48,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,48,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,48,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.8568170572950679
0,48,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-87,3,CLEAR,ALLOW,0.1066651315664881
0,49,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,49,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,49,UHF,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.999862780291846
0,49,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-87,1,CLEAR,ALLOW,0.10186351280476513
0,50,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,50,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,50,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.7660840480142854
0,50,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.12127121031251202
0,51,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,51,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,51,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.884418692321908
0,51,SATCOM,Without_Detector,False,ML-KEM-768,SLH-DSA-128s,3,CLEAR,ALLOW,0.37147815517293664
0,52,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,52,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,52,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.9601131976001283
0,52,SATCOM,Without_Detector,False,ML-KEM-512,SLH-DSA-128s,1,CLEAR,ALLOW,0.3728991912691672
0,53,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,53,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,53,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.9548000983505351
0,53,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.0718785906842874
0,54,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,54,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,54,UHF,Without_Detector,False,ML-KEM-768,ML-DSA-44,3,CLEAR,ALLOW,0.978650866391454
0,54,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-87,5,CLEAR,ALLOW,0.13395271175810045
0,55,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,55,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,55,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9418028944582987
0,55,SATCOM,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.06383764620709863
0,56,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,56,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,56,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,56,SATCOM,Without_Detector,False,ML-KEM-768,ML-DSA-65,3,CLEAR,ALLOW,0.09527114979005
0,57,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,57,HF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
0,57,UHF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,0.9878142538367352
0,57,SATCOM,Without_Detector,False,ML-KEM-1024,ML-DSA-44,5,CLEAR,ALLOW,0.08980337020117937
0,58,VLF,Without_Detector,False,ML-KEM-512,ML-DSA-44,1,CLEAR,ALLOW,1.0
